Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JS6351_2_trimpaired	22.300324956535988	27.0	148.8551949746061	150	9.090909090909092	37731888.0
JS6351_2_trimunpaired	5.984293423419473	26.0	140.90208982289883	150	18.181818181818183	68379.0
JS6352_1_trimpaired	32.51330132853771	28.0	149.13396876787965	150	9.090909090909092	54821382.0
JS6352_1_trimunpaired	5.220937702161038	27.0	142.60354686426467	150	9.090909090909092	270718.0
JS6352_2_trimpaired	30.017348314416807	28.0	148.81485318994694	150	9.090909090909092	54821382.0
JS6352_2_trimunpaired	6.945877396612502	26.0	140.45064912733213	150	18.181818181818183	93048.0
JS6353_1_trimpaired	27.470130154880437	27.0	149.11626846393457	150	9.090909090909092	40214817.0
JS6353_1_trimunpaired	7.156087584889619	27.0	142.96909922357824	150	9.090909090909092	172973.0
JS6353_2_trimpaired	25.58402354369042	27.0	148.86821414604472	150	9.090909090909092	40214817.0
JS6353_2_trimunpaired	5.864986089820022	25.0	141.67840515528303	150	18.181818181818183	70452.0
JS6354_1_trimpaired	29.70700353541625	27.0	148.9573927825587	150	0.0	44323852.0
JS6354_1_trimunpaired	4.294636848312294	27.0	142.57312742038428	150	9.090909090909092	255383.0
JS6354_2_trimpaired	27.352672674807792	27.0	148.78026654813306	150	0.0	44323852.0
JS6354_2_trimunpaired	6.973892607162924	26.0	141.28302253103766	150	18.181818181818183	97865.0
JS6355_1_trimpaired	37.23898732641743	28.0	149.12933146958088	150	0.0	55047368.0
JS6355_1_trimunpaired	10.539718504964611	27.0	139.61660718875422	150	0.0	404632.0
JS6355_2_trimpaired	35.98619077864012	28.0	148.21495394657197	150	0.0	55047368.0
JS6355_2_trimunpaired	8.763276823197458	26.0	139.64062535844556	150	9.090909090909092	87182.0
JS6356_1_trimpaired	34.190147237062305	28.0	149.1327990504116	150	0.0	46613880.0
